country_code,region,county,taxJurisdiction,createdAt,createdBy,modifiedAt,modifiedBy,config_ID,config_tableName
US,OH,JEFFERSON,3981000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,KNOX,3983000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,LAKE,3985000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,LICKING,3989000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,LOGAN,3991000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,LORAIN,3993000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,LUCAS,3995000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,MADISON,3997000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,MAHONING,3999000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,MARION,39AA000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,MEDINA,39AB000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,MIAMI,39AE000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,MONROE,39AG000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,MONTGOMERY,39AH000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,MORROW,39AJ000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,PICKAWAY,39AQ000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,PORTAGE,39AT000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,RICHLAND,39AW000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,ROSS,39AX000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,SANDUSKY,39AY000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,SCIOTO,39AZ000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,SENECA,39BA000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,SHELBY,39BB000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,STARK,39BD000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,SUMMIT,39BE000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,TRUMBULL,39BF000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,TUSCARAWAS,39BG000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,UNION,39BH000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,WARREN,39BL000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,WASHINGTON,39BM000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,WAYNE,39BN000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,WILLIAMS,39BP000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,OH,WOOD,39BQ000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,PA,ALLEGEHNY,4203000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,PA,PHILADELPHIA,42AA600000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,SD,HANSON,4661000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WV,BERKELEY,5403000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WV,JACKSON,5435000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WV,JEFFERSON,5437000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WV,MARION,5404900000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WV,MONONGALIA,5461000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WV,PUTNAM,5479000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WV,RALEIGH,5481000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WV,RANDOLPH,5483000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WV,WAYNE,5499000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,IA,MARSHALL,19AP000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,NY,CLINTON,3619000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
US,WA,BENTON,5305000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71136,COTJC
