country_code,region,city,taxJurisdiction,createdAt,createdBy,modifiedAt,modifiedBy,config_ID,config_tableName
US,WV,ALDERSON,5463007720,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,BARBOURSVILLE,5411000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,BECKLEY,5481053320,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,BUNKER HILL,5403000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,CHARLESTON,5439146000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,CLARKSBURG,5433156280,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,CRAB ORCHARD,5481185080,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,DANIELS,5481000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,ELKINS,5483245800,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,FAIRMONT,5449264520,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,FRIENDLY,5495294040,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,HEDGESVILLE,5403362200,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,HUNTINGTON,5411394600,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,HURRICANE,5479000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,LEWISBURG,5425466360,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,MARTINSBURG,5403520600,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,MAYSVILLE,5423000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,MILTON,5411544840,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,MORGANTOWN,5461000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,PARKERSBURG,54AD621400,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,RANSON,5437180400,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,STAR CITY,5461765160,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,UNION,5463819400,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,VIENNA,54AD835000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,WAYNE,5499849400,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,WEIRTON,5429851560,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,WESTOVER,5461859960,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WV,WHEELING,5469864520,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,HI,LAUPAHOEHOE,1501441500,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,NY,BROOKLYN,3647000000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,ARLINGTON,5361A00200,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,BAINBRIDGE ISLAND,5335037360,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,BELLINGHAM,5373A00040,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,BLAINE,5373A00020,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,BOTHELL,5361A00050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,BREMERTON,5335076950,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,BURLINGTON,5357A00040,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,COLFAX,5375137850,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,EAST WENATCHEE,5317A00010,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,EDMONDS,5361A00150,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,EVERETT,5361A00060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,Everett,5361226400,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,KENNEWICK,5305A00020,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,KENT,5361A00090,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,LACEY,5367A00030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,LIBERTY LAKE,5363393350,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,LONGVIEW,5315402450,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,LYNNWOOD,5361A00110,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,Liberty Lake,5363A00100,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,MARYSVILLE,5361A00020,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,MOSES LAKE,5325472450,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,MUKILTEO,5361A00180,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,OLYMPIA,5367A00040,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,POMEROY,5323551200,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,PORT ANGELES,5309553650,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,PULLMAN,5375566250,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,RICHLAND,5305A00050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,SEATTLE,5335565900,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,SPOKANE,5363A00010,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,SPOKANE.,5363A00080,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,Spokane,5363A00070,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,VANCOUVER,5311A00010,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,Vancouver,5311A00060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,WASHOUGAL,5311A00090,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,WA,WENATCHEE,5307A00060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
