paymentTerm,netPaymentTerm,modifiedAt,modifiedBy,createdAt,createdBy,config_ID,config_tableName
5685,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5690,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5695,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5700,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5705,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5710,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5715,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5720,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5725,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5730,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5735,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5740,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5745,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5750,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5755,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5760,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5765,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5770,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
5775,N055,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6000,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6005,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6010,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6015,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6020,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6025,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6030,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6035,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6040,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6045,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6050,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6055,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6060,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6065,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6070,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6075,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6080,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6085,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6090,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6095,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6100,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6105,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6110,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6115,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6120,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6125,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6130,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6135,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6140,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6145,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6150,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6155,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6160,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6165,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6170,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6175,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6180,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
6185,N060,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
